id,section,word,correctAnswer,wrong1,wrong2,wrong3,points,explanation
145,10,include,含む,衣服,開ける,経済学,1,Section 10 vocabulary
146,10,exclusive,排他的な,経済学,対比,親戚,1,Section 10 vocabulary
147,10,rid,取り除く,明らかな,減らす,減少する,1,Section 10 vocabulary
148,10,according,〜によれば,届ける,同僚,裕福な,1,Section 10 vocabulary
149,10,medical,医学の,保証する,反対する,垂直の,1,Section 10 vocabulary
150,10,expert,専門家,歓迎会,前方へ/促進する,回転/革命,1,Section 10 vocabulary
151,10,expertise,専門知識,繊細な,力,逃す,1,Section 10 vocabulary
152,10,normal,普通の,薄い・細い,完成させる,行楽地,1,Section 10 vocabulary
153,10,ordinary,普通の,大学生,達成する,出口,1,Section 10 vocabulary
154,10,adult,大人,宿屋,発展,冒険,1,Section 10 vocabulary
155,10,adolescent,青年期の,心配・関係する,たいてい,移行,1,Section 10 vocabulary
156,10,ratio,比率,復活させる,対比,頼る,1,Section 10 vocabulary
157,10,proportion,割合,驚くべきことに,働きすぎ,快適さ/慰める,1,Section 10 vocabulary
158,10,clear,明らかな,人物,板,適した,1,Section 10 vocabulary
159,10,vague,あいまいな,予備の/空いている,日常的に,美しさ,1,Section 10 vocabulary
160,10,believe,信じる,航行する,選ぶ,記憶,1,Section 10 vocabulary
161,10,religion,宗教,回転させる,委員会,住む,1,Section 10 vocabulary
162,10,credit,信用・功績,電極,領主,組織する,1,Section 10 vocabulary
163,10,immune,免疫のある,謙虚な,近づく,クローン,1,Section 10 vocabulary
164,10,common,共通の,嫌う,指導力,性,1,Section 10 vocabulary
165,10,virus,ウイルス,地域,排出,根,1,Section 10 vocabulary
166,10,bacteria,細菌,後を追う,減らす,減少する,1,Section 10 vocabulary
167,10,minute,微小な・分,空想,発見する,芸術家,1,Section 10 vocabulary
168,10,once,一度,知人,壊れやすい,糖尿病,1,Section 10 vocabulary
169,10,infect,感染させる,問題,指定,滑る,1,Section 10 vocabulary
170,10,rest,休む・残り,幻想,航行する,歴史,1,Section 10 vocabulary
171,10,entirely,完全に,問題,頻繁な,長さ,1,Section 10 vocabulary
172,11,populate,住む,性,しるし,価値がある,1,Section 11 vocabulary
173,11,population,人口,体制,衝動,味,1,Section 11 vocabulary
174,11,organ,臓器,状態,うなる,ますます,1,Section 11 vocabulary
175,11,organize,組織する,最初の,無限の,肝臓,1,Section 11 vocabulary
176,11,arrange,整える,方法,高価な,薄い・細い,1,Section 11 vocabulary
177,11,vegetable,野菜,乗り出す,同行する,繁栄,1,Section 11 vocabulary
178,11,increase,増加する,想像力豊かな,所有者,冒険,1,Section 11 vocabulary
179,11,probably,おそらく,言語の,ポンプ,認識する,1,Section 11 vocabulary
180,11,alone,一人で,地区,不安な,侵入,1,Section 11 vocabulary
181,11,neighborhood,近所,うなる,環境,肝臓,1,Section 11 vocabulary
182,11,pocket,ポケット,観察する/守る,重要な,打つ,1,Section 11 vocabulary
183,11,preserve,保存する,肝臓,引っかく,追加,1,Section 11 vocabulary
184,11,agriculture,農業,調査する,企業の,命令,1,Section 11 vocabulary
185,11,currently,現在,命令,引っかく,好きで,1,Section 11 vocabulary
186,11,average,平均の,信用・功績,利用可能な,疑いなく,1,Section 11 vocabulary
187,11,environmental,環境の,けが,効率的な,あえて〜する,1,Section 11 vocabulary
188,11,conservation,保護,怒らせる,想定する,劇的な,1,Section 11 vocabulary
189,11,cost,費用,下線を引く,要約する,主要な,1,Section 11 vocabulary
190,11,budget,予算,明らかにする,分岐点,反対の,1,Section 11 vocabulary
191,12,addition,追加,騒がしい,主要な,区別,1,Section 12 vocabulary
192,12,average,平均の,反対の,行楽地,定期購読する,1,Section 12 vocabulary
193,12,environmental,環境の,一時停止,特徴,故意に,1,Section 12 vocabulary
194,12,conservation,保護,費用,性,可能な,1,Section 12 vocabulary
195,12,cost,費用,損害,自信がある,不思議に思う,1,Section 12 vocabulary
196,12,budget,予算,中心,役割,建設する,1,Section 12 vocabulary
197,12,consider,考える,鋭い,価値がある,劇的な,1,Section 12 vocabulary
198,12,likely,ありそうな,費やす,回復する,危険な,1,Section 12 vocabulary
199,12,comparison,比較,上回る,革,革新,1,Section 12 vocabulary
200,12,compare,比較する,才能,定義する,ユーモア,1,Section 12 vocabulary
201,12,complete,完成させる,行動,泥,例,1,Section 12 vocabulary
202,12,comparable,比較できる,無限に,普通の,直接に,1,Section 12 vocabulary
203,12,quality,質,手頃な価格の,激しい,物体,1,Section 12 vocabulary
204,12,immediate,即時の,反対する,詰める,ささいな,1,Section 12 vocabulary
205,12,constantly,絶えず,挿入する,配列,描写する,1,Section 12 vocabulary
206,13,principle,原理,取り消す,役割,クローン,1,Section 13 vocabulary
207,13,consent,同意,属性,決して〜ない,板,1,Section 13 vocabulary
208,13,urge,促す,議論する/討論,望ましい,現れる,1,Section 13 vocabulary
209,13,physical,身体の,即座に,通訳する/解釈する,航行する,1,Section 13 vocabulary
210,13,pump,ポンプ,教育の,珍しい,地区,1,Section 13 vocabulary
211,13,postpone,延期する,次元,想像力豊かな,兵士,1,Section 13 vocabulary
212,13,wonder,不思議に思う,クリックする,娯楽,予期しない,1,Section 13 vocabulary
213,13,beg,頼む,命令,しるし,避難所,1,Section 13 vocabulary
214,13,technique,技術,天才,燃える,手段,1,Section 13 vocabulary
215,13,admit,認める,計画,偶然の一致,収穫する,1,Section 13 vocabulary
216,13,disaster,災害,宮殿,時々,電極,1,Section 13 vocabulary
217,13,obstacle,障害,パジャマ,詰める,感情,1,Section 13 vocabulary
218,13,interaction,相互作用,明白な/質素な,興奮させる,パジャマ,1,Section 13 vocabulary
219,13,transaction,取引,指針,信頼できる,計算,1,Section 13 vocabulary
220,13,bite,かむ,住む,薬・麻薬,購入する,1,Section 13 vocabulary
221,13,angry,怒った,集まり,免許,成し遂げる,1,Section 13 vocabulary
222,13,irritate,いらだたせる,扱う・治療する,冒険,主張する,1,Section 13 vocabulary
223,13,disorder,障害,同等の,衝動,職業,1,Section 13 vocabulary
224,13,dismiss,退ける,句,地域,道具,1,Section 13 vocabulary
225,14,necessary,必要な,インターネット,反対の,哲学,1,Section 14 vocabulary
226,14,doubtful,疑わしい,調査する,閉じ込める,超自然の,1,Section 14 vocabulary
227,14,inevitable,避けられない,気温,統計,信用・功績,1,Section 14 vocabulary
228,14,concern,心配・関係する,うわさ,おそらく,化合物,1,Section 14 vocabulary
229,14,anxious,不安な,立つ,親密な,いくぶん,1,Section 14 vocabulary
230,14,increasingly,ますます,変形させる,故意に,証拠,1,Section 14 vocabulary
231,14,spend,費やす,焼く,属性,主に,1,Section 14 vocabulary
232,14,electrode,電極,輸入する,現在の,取引,1,Section 14 vocabulary
233,14,outlook,見通し,哲学,酸,電極,1,Section 14 vocabulary
234,14,suitable,適した,期間,裕福な,集団の,1,Section 14 vocabulary
235,14,contact,接触,永久に,調査する,痛い,1,Section 14 vocabulary
236,14,power,力,普通の,アルコール,ゆるい,1,Section 14 vocabulary
237,14,appropriate,適切な,収穫する,責任がある,材料,1,Section 14 vocabulary
238,15,uncertain,不確かな,蓄積する,均衡,貢献する,1,Section 15 vocabulary
239,15,guarantee,保証する,歴史,乗り出す,歩き回る,1,Section 15 vocabulary
240,15,confirm,確認する,バイリンガル,においがする,子孫,1,Section 15 vocabulary
241,15,convince,納得させる,夜明け,残業,宮殿,1,Section 15 vocabulary
242,15,persuade,説得する,適応する,考古学者,現れる,1,Section 15 vocabulary
243,15,species,種,後方へ,診断する,方言,1,Section 15 vocabulary
244,15,classify,分類する,現れる,通過する,親切/好意,1,Section 15 vocabulary
245,15,period,期間,莫大な,状態,激しい,1,Section 15 vocabulary
246,15,occurrence,発生,消化する,社会,絞る,1,Section 15 vocabulary
247,15,strike,打つ,大きく口を開ける,しるし,加速する,1,Section 15 vocabulary
248,15,kingdom,王国,パジャマ,十分な,呼吸する,1,Section 15 vocabulary
249,15,general,一般的な,静かな,成し遂げる,占める,1,Section 15 vocabulary
250,15,main,主要な,復活させる,重大な,象徴的な,1,Section 15 vocabulary
251,15,largely,主に,親切/好意,先端,句,1,Section 15 vocabulary
252,15,mystery,謎,大胆な,コミュニケーション,文化,1,Section 15 vocabulary
253,16,challenge,課題・挑戦,生計,例,苦悩,1,Section 16 vocabulary
254,16,relation,関係,直接に,種,かなり,1,Section 16 vocabulary
255,16,range,範囲,解決する,計算,体,1,Section 16 vocabulary
256,16,global,地球規模の,田舎,安定性,産業,1,Section 16 vocabulary
257,16,foundation,基盤,明らかな,更新する,彫る,1,Section 16 vocabulary
258,16,structure,建造物/構造,機会,航海,誤解,1,Section 16 vocabulary
259,16,individual,個人の/個人,手頃な価格の,手荷物,ため息をつく,1,Section 16 vocabulary
260,16,commercial,商業の/CM,疑わしい,揺れる,一度,1,Section 16 vocabulary
261,16,notion,概念,基準,採用する,期待する,1,Section 16 vocabulary
262,17,acid,酸,原理,取って代わる,ささやく,1,Section 17 vocabulary
263,17,philosophy,哲学,一時的な,侵入,大人,1,Section 17 vocabulary
264,17,affect,影響を与える,滑る,板,予測,1,Section 17 vocabulary
265,17,general,一般的な,鮮やかな,哲学,大きく口を開ける,1,Section 17 vocabulary
266,17,height,高さ,記録する,形成する,裁判官,1,Section 17 vocabulary
267,17,distribute,分配する,調整する,まもなく,経済学,1,Section 17 vocabulary
268,17,interfere,干渉する,しみ,針金,悲劇的な,1,Section 17 vocabulary
269,17,internet,インターネット,山積み,積み重ね,ジレンマ,1,Section 17 vocabulary
270,17,sharp,鋭い,逮捕する,曲線,地域,1,Section 17 vocabulary
271,17,extremely,非常に,挿絵,構成する,基準,1,Section 17 vocabulary
272,17,plain,明白な/質素な,うわさ,称賛する,同等の,1,Section 17 vocabulary
273,17,sore,痛い,宣教師,取り除く,同封する,1,Section 17 vocabulary
274,17,distress,苦悩,追加,許可する,ポケット,1,Section 17 vocabulary
275,17,permanently,永久に,生態系,逃れる,いくぶん,1,Section 17 vocabulary
276,17,slip,滑る,代理人,主張する,不可欠な,1,Section 17 vocabulary
277,17,swear,誓う,予約する,発展,反応,1,Section 17 vocabulary
278,18,remedy,治療法,節目,専門知識,要求する,1,Section 18 vocabulary
279,18,digest,消化する,一時停止,循環,王国,1,Section 18 vocabulary
280,18,reduce,減らす,疑わしい,投げる,〜もまたない,1,Section 18 vocabulary
281,18,decline,減少する,達成,野菜,叫ぶ,1,Section 18 vocabulary
282,18,symptom,症状,可能な,静かな,けが,1,Section 18 vocabulary
283,18,comfort,快適さ/慰める,精神的な,特徴,航海,1,Section 18 vocabulary
284,18,labor,労働,分別のある,厳しい,宿屋,1,Section 18 vocabulary
285,18,fork,分岐点,冒険,植物,成し遂げる,1,Section 18 vocabulary
286,18,fiction,小説,減少する,直接の,壊れやすい,1,Section 18 vocabulary
287,18,possibly,おそらく,知人,不思議に思う,現代の,1,Section 18 vocabulary
288,18,somehow,何とかして,期間,障害,外で/外の,1,Section 18 vocabulary
289,18,trash,ごみ,自信がある,小道,著者,1,Section 18 vocabulary
290,18,odd,奇妙な/奇数の,蒸気,区別,支配する,1,Section 18 vocabulary
291,18,definitely,間違いなく,扱う・治療する,制限,ポンプ,1,Section 18 vocabulary
292,18,squeeze,絞る,垂直の,必死の,謙虚な,1,Section 18 vocabulary
293,18,pack,詰める,おそらく,ポンプ,差別する,1,Section 18 vocabulary
294,19,declare,宣言する,復活させる,閉じる,再開する,1,Section 19 vocabulary
295,19,announce,発表する,優雅さ,記憶,表,1,Section 19 vocabulary
296,19,talent,才能,投げる,職業,けが,1,Section 19 vocabulary
297,19,backward,後方へ,思い出させる,願望,経済的な,1,Section 19 vocabulary
298,19,ceiling,天井,侵入,政治の,取り組む,1,Section 19 vocabulary
299,19,perform,実行する,避難所,管理する,反応,1,Section 19 vocabulary
300,19,initial,最初の,発生,運動,移住,1,Section 19 vocabulary
301,19,plain,明白な/質素な,近所,自動車,分類する,1,Section 19 vocabulary
302,19,variation,変化・差異,外で/外の,維持する,調整,1,Section 19 vocabulary
303,19,active,活動的な,ゆるい,単に,クローン,1,Section 19 vocabulary
304,20,creative,創造的な,蒸気,領主,幻想,1,Section 20 vocabulary
305,20,hook,引っかける,針金,概念,確かに,1,Section 20 vocabulary
306,20,define,定義する,記録する,信仰/信頼,変化・差異,1,Section 20 vocabulary
307,20,chief,主要な,強化する,保証する,材料,1,Section 20 vocabulary
308,20,dangerous,危険な,許可する,人物,薬・麻薬,1,Section 20 vocabulary
309,20,emerge,現れる,〜する間に,通貨,裕福な,1,Section 20 vocabulary
310,20,fierce,激しい,理解,必要な,民族の,1,Section 20 vocabulary
311,20,articulate,はっきり述べる,称賛する,完成させる,定義,1,Section 20 vocabulary
312,20,vocal,声の,騎士,隣接した,天才,1,Section 20 vocabulary
313,20,comprehension,理解,すばらしい,嫌がらせ,機関,1,Section 20 vocabulary
314,20,conflict,対立,歩き回る,相互作用,働きすぎ,1,Section 20 vocabulary
315,20,evidence,証拠,十分な,寄付する,捨てる,1,Section 20 vocabulary
316,21,assign,割り当てる,症状,主張する,輸送する,1,Section 21 vocabulary
317,21,data,データ,中心部,謙虚な,著名な,1,Section 21 vocabulary
318,21,output,出力,一晩中,割り当てる,（外国からの）移住/入国,1,Section 21 vocabulary
319,21,command,命令,確認する,固定観念,不思議に思う,1,Section 21 vocabulary
320,21,exclusive,排他的な,生計,天井,差別,1,Section 21 vocabulary
321,21,sensitive,敏感な,移す,粘土,高める,1,Section 21 vocabulary
322,22,follow,後を追う,比率,事実,輸出する,1,Section 22 vocabulary
323,22,obey,従う,貢献する,酸,最小限にする,1,Section 22 vocabulary
324,22,signal,信号,発生,怠る,肥満,1,Section 22 vocabulary
325,22,compound,化合物,頼る,西洋の,哲学,1,Section 22 vocabulary
326,22,hybrid,混合の,夜明け,安全な・確保する,輸出する,1,Section 22 vocabulary
327,22,permit,許可する,対立,干渉する,概念,1,Section 22 vocabulary
328,22,burn,燃える,進んで?する,注意深く,その間,1,Section 22 vocabulary
329,22,political,政治の,労働,変える,本物の,1,Section 22 vocabulary
330,22,excellent,すばらしい,共通の,割り当てる,枕,1,Section 22 vocabulary
331,22,detect,検出する,同行する,生命の/重要な,不安な,1,Section 22 vocabulary
332,22,oppose,反対する,蓄積する,避難所,明らかにする,1,Section 22 vocabulary
333,22,sensitive,敏感な,芸術家,閉じ込める,バイリンガル,1,Section 22 vocabulary
334,23,bridge,橋,規律,輸送する,パジャマ,1,Section 23 vocabulary
335,23,construct,建設する,期待する,準備する,返事をする,1,Section 23 vocabulary
336,23,alternative,代替案,ありそうにない,気分,真実,1,Section 23 vocabulary
337,23,govern,支配する,指針,思いつく,気分,1,Section 23 vocabulary
338,23,process,過程,騎士,視点,災害,1,Section 23 vocabulary
339,23,perspective,視点,機械,希望に満ちた,謙虚な,1,Section 23 vocabulary
340,23,significant,重要な,アルコール,革,家族,1,Section 23 vocabulary
341,23,data,データ,言葉の,深い悲しみ,個人的な,1,Section 23 vocabulary
342,23,output,出力,固定観念,説明する,出席する,1,Section 23 vocabulary
343,23,command,命令,証明する,兵士,疫病,1,Section 23 vocabulary
344,24,collective,集団の,中世の,取り組む,保険,1,Section 24 vocabulary
345,24,adjacent,隣接した,人物,命令,西洋の,1,Section 24 vocabulary
346,24,adopt,採用する,象徴的な,その間に,堅い,1,Section 24 vocabulary
347,24,adjust,調整する,記録する,印象,労働力,1,Section 24 vocabulary
348,24,owner,所有者,幻想,維持する,計算,1,Section 24 vocabulary
349,24,monopoly,独占,公の/一般の人,青年期の,発見する,1,Section 24 vocabulary
350,24,impulse,衝動,流行病,よく知っている,優れた,1,Section 24 vocabulary
351,24,next,次の,分岐点,糖尿病,簡潔に,1,Section 24 vocabulary
352,24,adapt,適応する,通訳する/解釈する,挿絵,微小な・分,1,Section 24 vocabulary
353,24,object,物体,叫ぶ,一般的な,簡潔に,1,Section 24 vocabulary
354,25,focus,焦点を合わせる,才能,水準,損害,1,Section 25 vocabulary
355,25,stability,安定性,現在の,問題・物質,休む・残り,1,Section 25 vocabulary
356,25,detail,詳細,怠る,財政の,働きすぎ,1,Section 25 vocabulary
357,25,criterion,基準,バイリンガル,鋭い,問題,1,Section 25 vocabulary
358,25,basis,基礎,上げる・育てる,象徴的な,共感,1,Section 25 vocabulary
359,25,independent,独立した,振る舞う,能力,輸送する,1,Section 25 vocabulary
360,25,loose,ゆるい,現代の,儀式,区別,1,Section 25 vocabulary
361,25,conservation,保護,時々,強調する,成績/等級,1,Section 25 vocabulary
362,26,theory,理論,和らげる,長寿,大気,1,Section 26 vocabulary
363,26,assume,想定する,食事を与えること,復活させる,集中する,1,Section 26 vocabulary
364,26,judge,裁判官,労働,かなり,明らかにする,1,Section 26 vocabulary
365,26,series,連続,住む,味,天才,1,Section 26 vocabulary
