id,section,question,correctAnswer,choice1,choice2,choice3,points,explanation,source
C3-016,SLA Chapter 3,Why is “a man was playing baseball” different from “a man played baseball”?,It presents the event as ongoing rather than simply completed,It changes the subject into a plural noun,It removes all temporal meaning,It is a pronunciation difference,1,"Source: SLA Chapter 3, pp. 71-73. The contrast illustrates how aspect changes the way an event is viewed.",SLA Chapter 3 pp.71-73
C3-017,SLA Chapter 3,"In the tense-aspect framework, what is a “state”?","A situation with no inherent dynamic change, such as know or love",A short punctual event such as notice,A process with clear repeated movement only,A discourse device for foregrounding,1,"Source: SLA Chapter 3, pp. 71-73. States differ from activities and achievements because they are not naturally viewed as dynamic events.",SLA Chapter 3 pp.71-73
C3-018,SLA Chapter 3,Which pair best illustrates lexical aspect categories?,state vs. activity,pronunciation vs. spelling,teacher feedback vs. peer feedback,paragraph vs. essay,1,"Source: SLA Chapter 3, pp. 71-73. Lexical aspect classifies verbs and predicates by temporal properties of the situations they describe.",SLA Chapter 3 pp.71-73
C3-019,SLA Chapter 3,What is a prototype effect in tense-aspect learning?,Learners first mark the most typical examples of a form-meaning pairing,Learners always learn rare uses first,Learners ignore verb meaning completely,Learners use only discourse markers,1,"Source: SLA Chapter 3, pp. 73-75. Prototype theory helps explain why learners may acquire central, typical uses before more peripheral uses.",SLA Chapter 3 pp.73-75
C3-020,SLA Chapter 3,Which example would be a prototypical context for past tense marking?,A completed punctual event such as “arrived”,A permanent state such as “knows”,An ongoing activity with no endpoint,A general truth about water,1,"Source: SLA Chapter 3, pp. 73-75. Completed, bounded events are typical contexts where past-tense marking is salient.",SLA Chapter 3 pp.73-75
C3-021,SLA Chapter 3,Why do prototypes matter for teaching tense-aspect?,They help teachers begin with clear form-meaning examples before expanding to less typical uses,They prove that examples are unnecessary,They show that learners should avoid verbs,They remove the need for communicative context,1,"Source: SLA Chapter 3, pp. 73-75. Clear examples can scaffold learners’ understanding before introducing less central cases.",SLA Chapter 3 pp.73-75
C3-022,SLA Chapter 3,Which choice best distinguishes a prototype explanation from a simple memorization account?,It explains why some uses are acquired earlier because they are more central or typical,It says learners randomly memorize all forms,It studies only teacher pronunciation,It focuses only on test scores,1,"Source: SLA Chapter 3, pp. 73-75. Prototype accounts emphasize typicality and gradual extension, not random memorization.",SLA Chapter 3 pp.73-75
C3-023,SLA Chapter 3,What is a key issue in learning futurity?,"Learners must connect future meaning with several possible forms such as will, be going to, or present forms",Learners use only past tense to express future time,Future meaning is never expressed lexically,Only pronunciation controls future reference,1,"Source: SLA Chapter 3, pp. 75-76. Futurity can be expressed through multiple forms, so learners must learn the mapping between form, meaning, and context.",SLA Chapter 3 pp.75-76
C3-024,SLA Chapter 3,Which sentence expresses future reference without using “will”?,I am going to meet her tomorrow,I met her yesterday,I know the answer,I was walking home,1,"Source: SLA Chapter 3, pp. 75-76. Future reference can be expressed with be going to and other structures, not only will.",SLA Chapter 3 pp.75-76
C3-025,SLA Chapter 3,Why can futurity be difficult from a concept-oriented perspective?,The same concept can be expressed by different linguistic forms depending on context,The future has only one fixed form,Learners cannot talk about the future,Future time is unrelated to meaning,1,"Source: SLA Chapter 3, pp. 75-76. A concept-oriented view highlights how learners express a concept with available forms.",SLA Chapter 3 pp.75-76
C3-026,SLA Chapter 3,Which teaching example best supports learning futurity?,"Comparing “will,” “be going to,” and scheduled present uses in meaningful contexts",Practicing only isolated verb spelling,Ignoring time adverbs,Avoiding examples of plans and predictions,1,"Source: SLA Chapter 3, pp. 75-76. Because futurity has multiple forms, contrastive examples can clarify meaning and use.",SLA Chapter 3 pp.75-76
C3-027,SLA Chapter 3,What does the Discourse Hypothesis claim about tense-aspect marking?,Learners’ use of tense-aspect is influenced by discourse structure such as foreground and background,Learners use tense-aspect only according to word length,Tense-aspect is unrelated to narratives,All discourse information is ignored in SLA,1,"Source: SLA Chapter 3, pp. 76-77. The hypothesis links morphology to discourse functions in narratives and other connected texts.",SLA Chapter 3 pp.76-77
C3-028,SLA Chapter 3,"In narrative discourse, what is usually foregrounded?",The main sequence of events that moves the story forward,Background descriptions only,Definitions of isolated vocabulary,Teacher comments about grading,1,"Source: SLA Chapter 3, pp. 76-77. Foreground clauses typically carry the event line, while background clauses provide setting or supportive information.",SLA Chapter 3 pp.76-77
C3-029,SLA Chapter 3,Which sentence is more likely to function as background information?,It was raining when the bus arrived,The bus arrived,She opened the door,He left the room,1,"Source: SLA Chapter 3, pp. 76-77. The background clause sets the scene while the arriving event can move the narrative forward.",SLA Chapter 3 pp.76-77
C3-030,SLA Chapter 3,How does the Discourse Hypothesis extend the Aspect Hypothesis?,It adds discourse organization to explanations based on verb semantics,It rejects all meaning-based explanations,It studies only sound categories,It focuses only on vocabulary size,1,"Source: SLA Chapter 3, pp. 76-77. Both hypotheses are related to tense-aspect, but discourse explanations include the role of narrative structure.",SLA Chapter 3 pp.76-77
C3-031,SLA Chapter 3,Which summary best captures Chapter 3’s functional section?,Learners gradually map meanings and discourse functions onto L2 forms,Learners acquire every morpheme at once,Only classroom tests shape acquisition,Vocabulary knowledge is the only issue in SLA,1,"Source: SLA Chapter 3, pp. 77-78. The summary emphasizes that form, meaning, function, and context all matter for SLA.",SLA Chapter 3 pp.77-78
C3-032,SLA Chapter 3,Which set contains theories from the same Chapter 3 sequence?,"Speech Learning Model, Aspect Hypothesis, and Discourse Hypothesis","Self-determination theory, expectancy-value theory, and flow theory","Schema theory, extensive reading, and genre pedagogy only","Pearson correlation, p-value, and percentile rank",1,"Source: SLA Chapter 3, pp. 77-78. These theories are part of the chapter’s discussion of linguistic and functional approaches to SLA.",SLA Chapter 3 pp.77-78
C3-033,SLA Chapter 3,A learner says “Yesterday I go to school” but uses “I was playing soccer” correctly. What issue is most relevant?,Uneven development of tense-aspect morphology across contexts,A complete lack of communicative ability,A problem only with lexical networks,A percentile-rank interpretation error,1,"Source: SLA Chapter 3, pp. 71-77. Tense-aspect development can be uneven, depending on verb semantics, prototype effects, and discourse context.",SLA Chapter 3 pp.71-77
C3-034,SLA Chapter 3,Which theory best explains difficulty distinguishing L2 sounds because of L1 categories?,Speech Learning Model,Discourse Hypothesis,Aspect Hypothesis,Concept-Oriented Approach to futurity,1,"Source: SLA Chapter 3, pp. 67-70. SLM focuses on phonetic category formation, unlike theories of tense-aspect or discourse.",SLA Chapter 3 pp.67-77
C3-035,SLA Chapter 3,Which theory best explains why learners first use adverbs before target-like tense forms?,Concept-Oriented Approach,Speech Learning Model,Universal Grammar only,Lexical network theory,1,"Source: SLA Chapter 3, pp. 70-71. A concept-oriented analysis tracks how a concept is expressed through available linguistic resources.",SLA Chapter 3 pp.70-77
C3-036,SLA Chapter 3,"Which explanation best connects “played,” “was playing,” and narrative backgrounding?","Tense-aspect choices reflect lexical aspect, viewpoint, and discourse function",They are only spelling differences,They are unrelated to meaning,They can be explained only by vocabulary size,1,"Source: SLA Chapter 3, pp. 71-77. The chapter treats tense-aspect as a form-meaning-discourse system, not merely a memorized suffix.",SLA Chapter 3 pp.71-77
