id,section,prompt,answer,hint,explanation,points
26,Opinion Paraphrase｜Casual clothes,Rewrite the unnatural expression naturally: “save money to buy uniforms”,save money on uniforms,save money on,制服代を節約は save money on uniforms。,1
27,Opinion Paraphrase｜Public transportation,Rewrite the unnatural expression naturally: “business persons”,workers,workers,一般的には workers が安全。,1
28,Opinion Paraphrase｜Public transportation,Rewrite the unnatural expression naturally: “make their flexibility better”,make it easier for them to commute,make it easier for 人 to V,抽象的なflexibilityより、通勤しやすいと具体化する。,1
29,Opinion Paraphrase｜Smartphones,Rewrite the unnatural expression naturally: “This can lead to literacy”,This can improve digital literacy,improve literacy,literacy は improve digital literacy と言う。,1
30,Opinion Paraphrase｜Smartphones,Rewrite the unnatural expression naturally: “less opportunity”,fewer opportunities,fewer + 可算名詞,opportunitiesは可算名詞なので fewer。,1
31,Opinion Paraphrase｜Money,Rewrite the unnatural expression naturally: “limitation of time”,limited time,limited time,時間の制約は limited time。,1
32,Opinion Paraphrase｜Money,Rewrite the unnatural expression naturally: “social study”,social studies,教科名,教科名は social studies。,1
33,Opinion Paraphrase｜Meetings,Rewrite the unnatural expression naturally: “spend time doing other things”,spend more time on important tasks,important tasks,other thingsよりimportant tasksが具体的。,1
34,Opinion Paraphrase｜Meetings,Rewrite the unnatural expression naturally: “current meeting room are a place”,use meeting rooms for team activities,use A for B,use meeting rooms for team activities と短く言う。,1
35,Opinion Paraphrase｜Mental health,Rewrite the unnatural expression naturally: “mental support”,mental health support,mental health,今回のテーマでは mental health support。,1
36,Opinion Paraphrase｜Mental health,Rewrite the unnatural expression naturally: “the person’s productivity”,employees’ productivity,一般論,一般論では employees’ productivity。,1
37,Opinion Paraphrase｜Skills,Rewrite the unnatural expression naturally: “by this knowledge”,by using these skills,by using,知識・技能を使っては by using these skills。,1
38,Opinion Paraphrase｜Breaks,Rewrite the unnatural expression naturally: “employees can get more benefit”,employees can work more efficiently,具体化,benefitを具体的な効果にする。,1
39,Opinion Paraphrase｜Training,"Rewrite the unnatural expression naturally: “because, efficient”",because training becomes more efficient,S becomes 形容詞,形容詞だけで終わらず文を完成させる。,1
40,Opinion Paraphrase｜Conclusion,Rewrite the unnatural expression naturally: “it is good to allow employees to take short breaks”,short breaks can benefit both employees and companies,結論を強く,最後は benefit both A and B で締める。,1
