id,section,prompt,answer,hint,explanation,points
27,Opinion Template｜Reason 2,"Complete the blank: Second, feedback can reduce _____.",mistakes,reduce mistakes,失敗ではなく mistakes を使う。,1
28,Opinion Template｜Conclusion,"Complete the blank: For these reasons, regular feedback can improve employees’ _____.",performance,improve performance,performance は仕事の成果を表す自然な語。,1
29,Opinion Template｜Opening,Complete the blank: I agree with the opinion that public transportation should be free for _____.,everyone,for everyone,公共交通無料化の基本表現。,1
30,Opinion Template｜Reason 1,"Complete the blank: First, free public transportation can help people travel without worrying about _____.",transportation costs,transportation costs,交通費は transportation costs。,1
31,Opinion Template｜Reason 2,"Complete the blank: Second, it can make it easier for workers _____.",to commute,make it easier for 人 to V,通勤しやすくするは make it easier for workers to commute。,1
32,Opinion Template｜Conclusion,"Complete the blank: For these reasons, free public transportation can make daily life more _____.",convenient,make life convenient,生活を便利にするは make daily life more convenient。,1
33,Opinion Template｜Opening,Complete the blank: I agree with the opinion that students should use smartphones in class for _____.,learning,for learning,問題文に合わせて for learning。,1
34,Opinion Template｜Reason 1,"Complete the blank: First, students can quickly look up information on their _____.",smartphones,look up information on,スマホで調べるは look up information on smartphones。,1
35,Opinion Template｜Reason 2,"Complete the blank: Second, students can learn how to use digital tools _____.",properly,use A properly,デジタルツールを適切に使うは use digital tools properly。,1
36,Opinion Template｜Conclusion,"Complete the blank: For these reasons, smartphones can support students’ learning when used _____.",appropriately,when used appropriately,反論されやすいテーマでは when used appropriately が有効。,1
37,Opinion Template｜Opening,Complete the blank: I agree with the opinion that schools should teach students how to _____ money.,manage,manage money,お金を管理するは manage money。,1
38,Opinion Template｜Reason 1,"Complete the blank: First, students need to manage money by themselves after they graduate from _____.",school,graduate from school,一般的には from school。,1
39,Opinion Template｜Reason 2,"Complete the blank: Second, some parents do not have enough time to teach their children about _____.",money,about money,teach children about money が自然。,1
40,Opinion Template｜Conclusion,"Complete the blank: For these reasons, learning how to manage money is useful for students’ future _____.",lives,future lives,将来の生活は future lives。,1
