id,section,word,correctAnswer,choice2,choice3,choice4,points,explanation,questionType,passage
L11-P02-S02,Lesson 11,The passage says New York now contains languages from every corner of the ___.,globe,nation,school,library,1,The paragraph states that New York houses languages from every corner of the globe.,Summary Cloze,"[2] By the late 19th century, New York had become a melting pot of footloose Europeans ― Brooklyn was a Scandinavian port, Manhattan was a great Irish metropolis, and the entire city of New York was the third-largest German-speaking city in the world. Today New York houses languages large and small, famous and unknown, from every corner of the globe. The way Mexico sounded before Cortés, now in El Barrio; the languages of West Africa, arrayed along 116th Street; the languages of Luzon and Java alive on the Asian streets of Queens. All the big ones are here ― if a language has a million speakers worldwide, most likely one of those speakers lives in New York ― but so are many endangered and vanishing languages."
L11-P02-S03,Lesson 11,"In addition to large languages, New York also contains endangered and ___ languages.",vanishing,official,invented,ancient-only,1,The paragraph says many endangered and vanishing languages are present in the city.,Summary Cloze,"[2] By the late 19th century, New York had become a melting pot of footloose Europeans ― Brooklyn was a Scandinavian port, Manhattan was a great Irish metropolis, and the entire city of New York was the third-largest German-speaking city in the world. Today New York houses languages large and small, famous and unknown, from every corner of the globe. The way Mexico sounded before Cortés, now in El Barrio; the languages of West Africa, arrayed along 116th Street; the languages of Luzon and Java alive on the Asian streets of Queens. All the big ones are here ― if a language has a million speakers worldwide, most likely one of those speakers lives in New York ― but so are many endangered and vanishing languages."
L11-P03-V01,Lesson 11,"As used in paragraph 3, the phrase “delving deep into” most nearly means:",investigating thoroughly,avoiding carefully,translating quickly,recording briefly,1,"Researchers work over months and years and study all elements of language, so the phrase means investigating thoroughly.",Vocabulary,"[3] At the Endangered Language Alliance, disappearing languages are documented by recording the words of a wide variety of speakers, including immigrants, refugees, students, businessmen, activists, and many others. Recordings have been made in thirty or so of the world’s smallest and most endangered languages: Shughni from southeastern Tajikistan, Kabardian from the northern Caucasus, Amuzgo from Mexico. Researchers work slowly with a community over months and years, delving deep into all elements of language."
L11-P03-F01,Lesson 11,"According to paragraph 3, what does the Endangered Language Alliance do?",It documents disappearing languages by recording many kinds of speakers.,It teaches only business English to immigrants.,It writes laws about immigration quotas.,It replaces endangered languages with English.,1,"The paragraph states that disappearing languages are documented by recording speakers such as immigrants, refugees, students, and others.",Factual,"[3] At the Endangered Language Alliance, disappearing languages are documented by recording the words of a wide variety of speakers, including immigrants, refugees, students, businessmen, activists, and many others. Recordings have been made in thirty or so of the world’s smallest and most endangered languages: Shughni from southeastern Tajikistan, Kabardian from the northern Caucasus, Amuzgo from Mexico. Researchers work slowly with a community over months and years, delving deep into all elements of language."
L11-P03-I01,Lesson 11,What can be inferred from paragraph 3 about the Alliance’s research method?,Careful language documentation requires long-term work with communities.,A language can be fully documented in a single interview.,Only professional linguists can be recorded as speakers.,The Alliance studies only languages from Europe.,1,The paragraph says researchers work slowly with a community over months and years.,Inference,"[3] At the Endangered Language Alliance, disappearing languages are documented by recording the words of a wide variety of speakers, including immigrants, refugees, students, businessmen, activists, and many others. Recordings have been made in thirty or so of the world’s smallest and most endangered languages: Shughni from southeastern Tajikistan, Kabardian from the northern Caucasus, Amuzgo from Mexico. Researchers work slowly with a community over months and years, delving deep into all elements of language."
L11-P03-S01,Lesson 11,The Endangered Language Alliance documents disappearing languages by recording the words of a wide variety of ___.,speakers,tourists,governments,publishers,1,The paragraph lists different kinds of speakers whose words are recorded.,Summary Cloze,"[3] At the Endangered Language Alliance, disappearing languages are documented by recording the words of a wide variety of speakers, including immigrants, refugees, students, businessmen, activists, and many others. Recordings have been made in thirty or so of the world’s smallest and most endangered languages: Shughni from southeastern Tajikistan, Kabardian from the northern Caucasus, Amuzgo from Mexico. Researchers work slowly with a community over months and years, delving deep into all elements of language."
L11-P03-S02,Lesson 11,"Examples of endangered languages recorded include Shughni, Kabardian, and ___.",Amuzgo,Latin,French,English,1,"The paragraph gives Shughni, Kabardian, and Amuzgo as examples.",Summary Cloze,"[3] At the Endangered Language Alliance, disappearing languages are documented by recording the words of a wide variety of speakers, including immigrants, refugees, students, businessmen, activists, and many others. Recordings have been made in thirty or so of the world’s smallest and most endangered languages: Shughni from southeastern Tajikistan, Kabardian from the northern Caucasus, Amuzgo from Mexico. Researchers work slowly with a community over months and years, delving deep into all elements of language."
L11-P03-S03,Lesson 11,"Researchers work with communities over months and years, studying all ___ of language.",elements,prices,laws,buildings,1,The paragraph says researchers delve into all elements of language.,Summary Cloze,"[3] At the Endangered Language Alliance, disappearing languages are documented by recording the words of a wide variety of speakers, including immigrants, refugees, students, businessmen, activists, and many others. Recordings have been made in thirty or so of the world’s smallest and most endangered languages: Shughni from southeastern Tajikistan, Kabardian from the northern Caucasus, Amuzgo from Mexico. Researchers work slowly with a community over months and years, delving deep into all elements of language."
L11-P04-V01,Lesson 11,"As used in paragraph 4, “isolates” most nearly refers to languages that:",are the last remaining representatives of a language family,are spoken only by people living alone,have no sounds or grammar,are easy to translate into English,1,The paragraph defines isolates as the last remaining representatives of a whole language family.,Vocabulary,"[4] Some of the languages documented, like Purhepecha from Mexico, are “isolates,” the last remaining representatives of a whole language family. Others have sounds or structures found nowhere else in human speech. It might be the way clauses are chained together, the play of stress and accent, the liberation of word order, the almost endless complexity of verb endings. The “personality” of a language is the hardest thing to study. Whatever it sounds like, every language is a sophisticated, irreplaceable record of both a world and a worldview; all have features, as the linguist Carol Genetti writes, “that give a language its beauty, its unique personality, and its genius.”"
L11-P04-F01,Lesson 11,"According to paragraph 4, what makes some documented languages especially valuable to study?",They have unique sounds or structures found nowhere else in human speech.,They are all easy for English speakers to learn.,They are used by the largest populations in the world.,They all follow exactly the same grammar rules.,1,The paragraph states that some languages have sounds or structures found nowhere else in human speech.,Factual,"[4] Some of the languages documented, like Purhepecha from Mexico, are “isolates,” the last remaining representatives of a whole language family. Others have sounds or structures found nowhere else in human speech. It might be the way clauses are chained together, the play of stress and accent, the liberation of word order, the almost endless complexity of verb endings. The “personality” of a language is the hardest thing to study. Whatever it sounds like, every language is a sophisticated, irreplaceable record of both a world and a worldview; all have features, as the linguist Carol Genetti writes, “that give a language its beauty, its unique personality, and its genius.”"
L11-P04-I01,Lesson 11,What can be inferred from paragraph 4 about losing a language?,It means losing a unique record of a world and worldview.,It has no effect if the language has few speakers.,It is useful because it simplifies global communication.,It only affects the spelling system of a community.,1,The paragraph calls every language an irreplaceable record of both a world and a worldview.,Inference,"[4] Some of the languages documented, like Purhepecha from Mexico, are “isolates,” the last remaining representatives of a whole language family. Others have sounds or structures found nowhere else in human speech. It might be the way clauses are chained together, the play of stress and accent, the liberation of word order, the almost endless complexity of verb endings. The “personality” of a language is the hardest thing to study. Whatever it sounds like, every language is a sophisticated, irreplaceable record of both a world and a worldview; all have features, as the linguist Carol Genetti writes, “that give a language its beauty, its unique personality, and its genius.”"
L11-P04-S01,Lesson 11,"Some languages documented by the Alliance are “isolates,” the last representatives of a whole language ___.",family,school,continent,government,1,The paragraph defines isolates as the last remaining representatives of a whole language family.,Summary Cloze,"[4] Some of the languages documented, like Purhepecha from Mexico, are “isolates,” the last remaining representatives of a whole language family. Others have sounds or structures found nowhere else in human speech. It might be the way clauses are chained together, the play of stress and accent, the liberation of word order, the almost endless complexity of verb endings. The “personality” of a language is the hardest thing to study. Whatever it sounds like, every language is a sophisticated, irreplaceable record of both a world and a worldview; all have features, as the linguist Carol Genetti writes, “that give a language its beauty, its unique personality, and its genius.”"
L11-P04-S02,Lesson 11,The “personality” of a language is described as the hardest thing to ___.,study,sell,erase,pronounce,1,The paragraph states that the personality of a language is the hardest thing to study.,Summary Cloze,"[4] Some of the languages documented, like Purhepecha from Mexico, are “isolates,” the last remaining representatives of a whole language family. Others have sounds or structures found nowhere else in human speech. It might be the way clauses are chained together, the play of stress and accent, the liberation of word order, the almost endless complexity of verb endings. The “personality” of a language is the hardest thing to study. Whatever it sounds like, every language is a sophisticated, irreplaceable record of both a world and a worldview; all have features, as the linguist Carol Genetti writes, “that give a language its beauty, its unique personality, and its genius.”"
L11-P04-S03,Lesson 11,Every language is described as a sophisticated and irreplaceable record of a world and a ___.,worldview,dictionary,city,test,1,The paragraph says each language records both a world and a worldview.,Summary Cloze,"[4] Some of the languages documented, like Purhepecha from Mexico, are “isolates,” the last remaining representatives of a whole language family. Others have sounds or structures found nowhere else in human speech. It might be the way clauses are chained together, the play of stress and accent, the liberation of word order, the almost endless complexity of verb endings. The “personality” of a language is the hardest thing to study. Whatever it sounds like, every language is a sophisticated, irreplaceable record of both a world and a worldview; all have features, as the linguist Carol Genetti writes, “that give a language its beauty, its unique personality, and its genius.”"
L11-P05-V01,Lesson 11,"As used in paragraph 5, “halt” most nearly means:",stop,growth,journey,argument,1,"The paragraph says migrations came to a sudden halt, meaning they suddenly stopped.",Vocabulary,"[5] The great migrations, increasingly diverse till the early 20th century, came to a sudden halt with the Immigration Act of 1924, with its hard cap on immigrants and its racist quotas in favor of Northern and Western Europe. The city’s diversity was becoming just a little less radical. By the time the United Nations arrived in New York City in the 1950s, it was mostly a town of seven particular tribes: Irish, Italian, Jewish, African American, Puerto Rican, West Indian, and Dominican. This is what many now think of as the dynamic “old New York” ― but it was the most static the city has been, linguistically speaking, since its founding."
L11-P05-F01,Lesson 11,"According to paragraph 5, what did the Immigration Act of 1924 do?",It placed a hard cap on immigrants and used racist quotas favoring Northern and Western Europe.,It abolished all immigration restrictions.,It made family relations the main basis for immigration.,It brought the United Nations to New York.,1,The paragraph describes the 1924 act as having a hard cap and racist quotas in favor of Northern and Western Europe.,Factual,"[5] The great migrations, increasingly diverse till the early 20th century, came to a sudden halt with the Immigration Act of 1924, with its hard cap on immigrants and its racist quotas in favor of Northern and Western Europe. The city’s diversity was becoming just a little less radical. By the time the United Nations arrived in New York City in the 1950s, it was mostly a town of seven particular tribes: Irish, Italian, Jewish, African American, Puerto Rican, West Indian, and Dominican. This is what many now think of as the dynamic “old New York” ― but it was the most static the city has been, linguistically speaking, since its founding."
L11-P05-I01,Lesson 11,What can be inferred about the “old New York” described in paragraph 5?,It was less linguistically radical than earlier or later New York.,It was the most multilingual period since the city’s founding.,It had no major immigrant communities.,It was shaped mainly by Asian and African migration.,1,The paragraph says the city’s diversity became less radical and linguistically static by this period.,Inference,"[5] The great migrations, increasingly diverse till the early 20th century, came to a sudden halt with the Immigration Act of 1924, with its hard cap on immigrants and its racist quotas in favor of Northern and Western Europe. The city’s diversity was becoming just a little less radical. By the time the United Nations arrived in New York City in the 1950s, it was mostly a town of seven particular tribes: Irish, Italian, Jewish, African American, Puerto Rican, West Indian, and Dominican. This is what many now think of as the dynamic “old New York” ― but it was the most static the city has been, linguistically speaking, since its founding."
L11-P05-S01,Lesson 11,The Immigration Act of 1924 placed a hard ___ on immigrants.,cap,tax,road,test,1,The paragraph says the act had a hard cap on immigrants.,Summary Cloze,"[5] The great migrations, increasingly diverse till the early 20th century, came to a sudden halt with the Immigration Act of 1924, with its hard cap on immigrants and its racist quotas in favor of Northern and Western Europe. The city’s diversity was becoming just a little less radical. By the time the United Nations arrived in New York City in the 1950s, it was mostly a town of seven particular tribes: Irish, Italian, Jewish, African American, Puerto Rican, West Indian, and Dominican. This is what many now think of as the dynamic “old New York” ― but it was the most static the city has been, linguistically speaking, since its founding."
L11-P05-S02,Lesson 11,The quotas favored immigrants from Northern and Western ___.,Europe,Africa,Asia,Australia,1,The paragraph states that the quotas favored Northern and Western Europe.,Summary Cloze,"[5] The great migrations, increasingly diverse till the early 20th century, came to a sudden halt with the Immigration Act of 1924, with its hard cap on immigrants and its racist quotas in favor of Northern and Western Europe. The city’s diversity was becoming just a little less radical. By the time the United Nations arrived in New York City in the 1950s, it was mostly a town of seven particular tribes: Irish, Italian, Jewish, African American, Puerto Rican, West Indian, and Dominican. This is what many now think of as the dynamic “old New York” ― but it was the most static the city has been, linguistically speaking, since its founding."
L11-P05-S03,Lesson 11,"By the 1950s, New York was described as linguistically more ___ than usual.",static,global,creative,unknown,1,The paragraph says this was the most static the city had been linguistically since its founding.,Summary Cloze,"[5] The great migrations, increasingly diverse till the early 20th century, came to a sudden halt with the Immigration Act of 1924, with its hard cap on immigrants and its racist quotas in favor of Northern and Western Europe. The city’s diversity was becoming just a little less radical. By the time the United Nations arrived in New York City in the 1950s, it was mostly a town of seven particular tribes: Irish, Italian, Jewish, African American, Puerto Rican, West Indian, and Dominican. This is what many now think of as the dynamic “old New York” ― but it was the most static the city has been, linguistically speaking, since its founding."
L11-P06-V01,Lesson 11,"As used in paragraph 6, “paramount” most nearly means:",most important,completely hidden,temporary,illegal,1,"The act made immigrants’ skills and family relations paramount, meaning most important.",Vocabulary,"[6] Then, in 1965, Congress passed the Immigration and Nationality Act, abolishing the quotas and making immigrants’ skills and family relations paramount. America’s annual intake of immigrants started climbing again, back toward seven figures. Asians and Africans and South and Central Americans started arriving in waves. Fleeing war and oppression, several thousand Cambodians came to New York’s Bronx area. Thousands of Albanians moved into Italian neighborhoods, many running the old pizza parlors. The secret language of barbers changed from Italian to Russian. The Vietnamese settled into the Chinatowns, Mexicans appeared in East Harlem, and Tibetans began selling Christmas trees on the sidewalks. No one could say why. The former Soviet Union, in all its multicultural variety, arrived on the shores of Brooklyn."
L11-P06-F01,Lesson 11,"According to paragraph 6, what did the Immigration and Nationality Act of 1965 do?",It abolished quotas and emphasized immigrants’ skills and family relations.,It reduced immigration to almost zero.,It favored only Northern and Western Europeans.,It required all immigrants to settle in Manhattan.,1,The paragraph says the 1965 act abolished the quotas and made skills and family relations paramount.,Factual,"[6] Then, in 1965, Congress passed the Immigration and Nationality Act, abolishing the quotas and making immigrants’ skills and family relations paramount. America’s annual intake of immigrants started climbing again, back toward seven figures. Asians and Africans and South and Central Americans started arriving in waves. Fleeing war and oppression, several thousand Cambodians came to New York’s Bronx area. Thousands of Albanians moved into Italian neighborhoods, many running the old pizza parlors. The secret language of barbers changed from Italian to Russian. The Vietnamese settled into the Chinatowns, Mexicans appeared in East Harlem, and Tibetans began selling Christmas trees on the sidewalks. No one could say why. The former Soviet Union, in all its multicultural variety, arrived on the shores of Brooklyn."
L11-P06-I01,Lesson 11,What can be inferred from the examples in paragraph 6?,Post-1965 immigration reshaped New York’s neighborhoods and languages in unexpected ways.,All immigrant groups settled in exactly the same neighborhood.,Italian remained the secret language of barbers.,New York stopped receiving immigrants after 1965.,1,The paragraph lists many groups arriving and changing neighborhoods and everyday language use.,Inference,"[6] Then, in 1965, Congress passed the Immigration and Nationality Act, abolishing the quotas and making immigrants’ skills and family relations paramount. America’s annual intake of immigrants started climbing again, back toward seven figures. Asians and Africans and South and Central Americans started arriving in waves. Fleeing war and oppression, several thousand Cambodians came to New York’s Bronx area. Thousands of Albanians moved into Italian neighborhoods, many running the old pizza parlors. The secret language of barbers changed from Italian to Russian. The Vietnamese settled into the Chinatowns, Mexicans appeared in East Harlem, and Tibetans began selling Christmas trees on the sidewalks. No one could say why. The former Soviet Union, in all its multicultural variety, arrived on the shores of Brooklyn."
L11-P06-S01,Lesson 11,"After 1965, America’s annual intake of immigrants started ___ again.",climbing,falling,freezing,ending,1,The paragraph says the annual intake of immigrants started climbing again.,Summary Cloze,"[6] Then, in 1965, Congress passed the Immigration and Nationality Act, abolishing the quotas and making immigrants’ skills and family relations paramount. America’s annual intake of immigrants started climbing again, back toward seven figures. Asians and Africans and South and Central Americans started arriving in waves. Fleeing war and oppression, several thousand Cambodians came to New York’s Bronx area. Thousands of Albanians moved into Italian neighborhoods, many running the old pizza parlors. The secret language of barbers changed from Italian to Russian. The Vietnamese settled into the Chinatowns, Mexicans appeared in East Harlem, and Tibetans began selling Christmas trees on the sidewalks. No one could say why. The former Soviet Union, in all its multicultural variety, arrived on the shores of Brooklyn."
L11-P06-S02,Lesson 11,Several thousand Cambodians came to New York’s ___ area.,Bronx,Queens,Harlem,Brooklyn only,1,The paragraph states that several thousand Cambodians came to the Bronx area.,Summary Cloze,"[6] Then, in 1965, Congress passed the Immigration and Nationality Act, abolishing the quotas and making immigrants’ skills and family relations paramount. America’s annual intake of immigrants started climbing again, back toward seven figures. Asians and Africans and South and Central Americans started arriving in waves. Fleeing war and oppression, several thousand Cambodians came to New York’s Bronx area. Thousands of Albanians moved into Italian neighborhoods, many running the old pizza parlors. The secret language of barbers changed from Italian to Russian. The Vietnamese settled into the Chinatowns, Mexicans appeared in East Harlem, and Tibetans began selling Christmas trees on the sidewalks. No one could say why. The former Soviet Union, in all its multicultural variety, arrived on the shores of Brooklyn."
L11-P06-S03,Lesson 11,The paragraph says the former Soviet Union arrived in all its multicultural ___ on the shores of Brooklyn.,variety,poverty,silence,uniformity,1,The paragraph uses the phrase “in all its multicultural variety.”,Summary Cloze,"[6] Then, in 1965, Congress passed the Immigration and Nationality Act, abolishing the quotas and making immigrants’ skills and family relations paramount. America’s annual intake of immigrants started climbing again, back toward seven figures. Asians and Africans and South and Central Americans started arriving in waves. Fleeing war and oppression, several thousand Cambodians came to New York’s Bronx area. Thousands of Albanians moved into Italian neighborhoods, many running the old pizza parlors. The secret language of barbers changed from Italian to Russian. The Vietnamese settled into the Chinatowns, Mexicans appeared in East Harlem, and Tibetans began selling Christmas trees on the sidewalks. No one could say why. The former Soviet Union, in all its multicultural variety, arrived on the shores of Brooklyn."
L11-P07-V01,Lesson 11,"As used in paragraph 7, “monoculture” most nearly means:","a single, uniform culture",a group of many languages,a city filled with immigrants,a method of recording speech,1,"The paragraph contrasts the world’s diversity with monoculture, meaning cultural sameness.",Vocabulary,"[7] Immigration in New York is so fast and fluid, suffusing the city in so many different ways, that the specific effects are easily missed. So the guy spreading flour on your pizza doesn’t speak Italian ― will you even notice if one day he stops speaking Albanian? The city is endlessly incorporating new cultures, and no one doubts that immigrants deeply shape the city. No other archetype ― not the actor, artist, or banker ― is as consistently linked to New York as the figure of the immigrant. But there’s still an unease: we may well be swallowing up the world’s diversity and spitting out monoculture."
L11-P07-F01,Lesson 11,"According to paragraph 7, why are the specific effects of immigration easily missed in New York?",Immigration is fast and fluid and suffuses the city in many ways.,Immigration has almost no effect on the city.,Most immigrants avoid working in public places.,New Yorkers carefully record every language shift.,1,"The paragraph says the effects are easily missed because immigration is so fast, fluid, and widespread.",Factual,"[7] Immigration in New York is so fast and fluid, suffusing the city in so many different ways, that the specific effects are easily missed. So the guy spreading flour on your pizza doesn’t speak Italian ― will you even notice if one day he stops speaking Albanian? The city is endlessly incorporating new cultures, and no one doubts that immigrants deeply shape the city. No other archetype ― not the actor, artist, or banker ― is as consistently linked to New York as the figure of the immigrant. But there’s still an unease: we may well be swallowing up the world’s diversity and spitting out monoculture."
L11-P07-I01,Lesson 11,What concern does paragraph 7 raise about New York’s diversity?,The city may absorb global diversity and turn it into a more uniform culture.,Immigrants no longer shape the city at all.,The actor is more strongly linked to New York than the immigrant.,Albanian is certain to remain unchanged forever.,1,The paragraph ends with unease that the city may swallow diversity and spit out monoculture.,Inference,"[7] Immigration in New York is so fast and fluid, suffusing the city in so many different ways, that the specific effects are easily missed. So the guy spreading flour on your pizza doesn’t speak Italian ― will you even notice if one day he stops speaking Albanian? The city is endlessly incorporating new cultures, and no one doubts that immigrants deeply shape the city. No other archetype ― not the actor, artist, or banker ― is as consistently linked to New York as the figure of the immigrant. But there’s still an unease: we may well be swallowing up the world’s diversity and spitting out monoculture."
L11-P07-S01,Lesson 11,Immigration in New York is described as fast and ___.,fluid,rare,official,predictable,1,The paragraph says immigration is fast and fluid.,Summary Cloze,"[7] Immigration in New York is so fast and fluid, suffusing the city in so many different ways, that the specific effects are easily missed. So the guy spreading flour on your pizza doesn’t speak Italian ― will you even notice if one day he stops speaking Albanian? The city is endlessly incorporating new cultures, and no one doubts that immigrants deeply shape the city. No other archetype ― not the actor, artist, or banker ― is as consistently linked to New York as the figure of the immigrant. But there’s still an unease: we may well be swallowing up the world’s diversity and spitting out monoculture."
L11-P07-S02,Lesson 11,The figure most consistently linked to New York is the ___.,immigrant,banker,actor,artist,1,The paragraph says no other archetype is as consistently linked to New York as the immigrant.,Summary Cloze,"[7] Immigration in New York is so fast and fluid, suffusing the city in so many different ways, that the specific effects are easily missed. So the guy spreading flour on your pizza doesn’t speak Italian ― will you even notice if one day he stops speaking Albanian? The city is endlessly incorporating new cultures, and no one doubts that immigrants deeply shape the city. No other archetype ― not the actor, artist, or banker ― is as consistently linked to New York as the figure of the immigrant. But there’s still an unease: we may well be swallowing up the world’s diversity and spitting out monoculture."
