id,section,question,correctAnswer,choice1,choice2,choice3,points,explanation,source
W4-012,Writing Chapter 4,Why should teachers avoid treating input texts merely as a means to an output text?,Input texts also have intrinsic value as sources of information and knowledge.,Input texts have no meaning beyond the assignment.,Output text is always more important than reading.,Reading content should be ignored in writing classes.,1,"Source: Writing Chapter 4, p. 146. The chapter warns against reducing reading to a tool for completing an assignment.","Writing Chapter 4, p. 146"
W4-013,Writing Chapter 4,What should reading-to-write tasks ask readers to do with textual content?,"Extract, understand, interpret, and remember it while noticing formal features.",Skip content and imitate surface grammar only.,Focus only on handwriting.,Avoid rhetorical arrangement.,1,"Source: Writing Chapter 4, p. 146. The page highlights both meaning and formal features of texts.","Writing Chapter 4, p. 146"
W4-014,Writing Chapter 4,Which formal feature may learners notice through reading-to-write tasks?,"Rhetorical arrangement, grammatical patterns, and lexical choices.",Only font size.,Only the number of pages.,Only punctuation marks with no meaning.,1,"Source: Writing Chapter 4, p. 146. The chapter names rhetorical arrangement, prototypical grammar, and lexical choices.","Writing Chapter 4, p. 146"
W4-015,Writing Chapter 4,What is the main claim of the “Writing to Read” section?,Writing can substantially enhance the reading process.,Writing always prevents comprehension.,Reading and writing are strictly unidirectional.,Writing is useful only for final essays.,1,"Source: Writing Chapter 4, p. 146. The section says the reading-writing connection is not unidirectional.","Writing Chapter 4, p. 146"
W4-016,Writing Chapter 4,What does the “heuristic nature of writing” mean in this chapter?,Writing helps readers use interpretive strategies to make meaning.,Writing removes the need for interpretation.,Writing only records answers after reading.,Writing is mechanical transcription.,1,"Source: Writing Chapter 4, p. 146. Writing gives insight into meaning making while reading.","Writing Chapter 4, p. 146"
W4-017,Writing Chapter 4,How can journal prompts before reading support write-to-read practice?,They can help students predict a text’s content and structure in writing.,They ensure students never revise predictions.,They replace the assigned text.,They focus only on grammar correction.,1,"Source: Writing Chapter 4, p. 146. The example describes written predictions before reading and later comparison with the text.","Writing Chapter 4, p. 146"
W4-018,Writing Chapter 4,"In write-to-read activities, what is writing primarily used as?",A tool for strengthening reading rather than simply a final written product.,A way to avoid reading.,A replacement for teacher feedback.,A method for counting words.,1,"Source: Writing Chapter 4, p. 147. The page states that writing can serve as a means or tool, not just a written product.","Writing Chapter 4, p. 147"
W4-019,Writing Chapter 4,What is close reading associated with in the chapter?,Wanting to know more about how a piece of writing works.,Reading only the first sentence of each paragraph.,Ignoring sentence-level choices.,Avoiding re-reading.,1,"Source: Writing Chapter 4, p. 147. The page connects close reading with attention to how writing works.","Writing Chapter 4, p. 147"
W4-020,Writing Chapter 4,How is deep reading characterized in this section?,Using the context of what has already been read to predict what will be read.,Reading quickly without reflection.,Skipping layered meanings.,Reading only for isolated words.,1,"Source: Writing Chapter 4, p. 147. The page links deep reading to prediction and richer understanding.","Writing Chapter 4, p. 147"
W4-021,Writing Chapter 4,What is writing-to-learn content?,Using writing as a vehicle for developing disciplinary knowledge and practices.,Using writing only to practice handwriting.,Writing without content knowledge.,Writing only to prepare for pronunciation.,1,"Source: Writing Chapter 4, p. 147. Writing-to-learn is tied to learning academic content and disciplinary practices.","Writing Chapter 4, p. 147"
W4-022,Writing Chapter 4,"In a writing-to-learn orientation, what does writing function as?",A vehicle for learning content and a tool for describing that content.,A replacement for all reading instruction.,A task unrelated to language development.,A method for avoiding disciplinary knowledge.,1,"Source: Writing Chapter 4, p. 147. The chapter describes writing as both a content-learning and content-describing tool.","Writing Chapter 4, p. 147"
W4-023,Writing Chapter 4,What should instruction account for in a writing-to-learn perspective?,Learners’ existing content knowledge and the disciplinary community where the content is used.,Only learners’ handwriting speed.,Only whether learners can memorize grammar rules.,Only the number of essays assigned.,1,"Source: Writing Chapter 4, p. 147. The chapter links writing-to-learn to content knowledge and disciplinary communities.","Writing Chapter 4, p. 147"
W4-024,Writing Chapter 4,What cognitive work do write-to-learn activities encourage?,Analytical and critical thinking about information.,Mechanical copying without interpretation.,Avoidance of new concepts.,Listening practice without writing.,1,"Source: Writing Chapter 4, p. 147. Write-to-learn tasks engage learners in analytical and critical thinking.","Writing Chapter 4, p. 147"
W4-025,Writing Chapter 4,What transformation is important in writing-to-learn instruction?,From knowledge-telling to knowledge-transformation.,From reading to silence.,From genre awareness to genre avoidance.,From feedback use to feedback rejection.,1,"Source: Writing Chapter 4, p. 147. The page identifies this transformation as a key characteristic.","Writing Chapter 4, p. 147"
W4-026,Writing Chapter 4,Which activity can count as a low-stakes writing-to-learn task?,"Short, unfinished, or rough writing on index cards, paper, computers, or whiteboards.",Only a polished research article.,Only a high-stakes final exam.,Only oral repetition without writing.,1,"Source: Writing Chapter 4, p. 148. The page describes informal low-stakes products as useful writing-to-learn tasks.","Writing Chapter 4, p. 148"
W4-027,Writing Chapter 4,Which visual or planning tool may be used in writing-to-learn instruction?,"Concept maps, spidergrams, outlines, sketches, drawings, or diagrams.",Only multiple-choice answer sheets.,Only pronunciation charts.,Only attendance records.,1,"Source: Writing Chapter 4, p. 148. The chapter lists several visual and planning tools.","Writing Chapter 4, p. 148"
W4-028,Writing Chapter 4,Do products from writing-to-learn tasks always need to become polished assignments?,"No, they may supply material for later composing, but they do not have to.","Yes, every product must become a graded essay.","No, because students should never revise them.","Yes, because informal writing has no value otherwise.",1,"Source: Writing Chapter 4, p. 148. The page says such products might supply material, but they do not have to.","Writing Chapter 4, p. 148"
W4-029,Writing Chapter 4,What is one purpose of journal writing in this chapter?,To add writing and reflection as students respond to readings or lectures.,To eliminate reading from the course.,To replace all teacher guidance.,To test spelling only.,1,"Source: Writing Chapter 4, p. 148. Journals can collect responses, summarize thoughts, or focus on questions from readings or lectures.","Writing Chapter 4, p. 148"
W4-030,Writing Chapter 4,What is the focus of the “Reciprocal Literacy Tasks” section?,"Flexible ways to integrate reading and writing through tasks such as journals, blogs, and reports.",A single mandatory essay format only.,A ban on informal writing.,A separation of reading from composing.,1,"Source: Writing Chapter 4, p. 148. The section emphasizes many options ranging from informal to formal tasks.","Writing Chapter 4, p. 148"
W4-031,Writing Chapter 4,What are reading response journals also called?,Reading logs or literature logs.,Grammar logs only.,Pronunciation diaries.,Listening score sheets.,1,"Source: Writing Chapter 4, p. 148. The page identifies reading response journals as reading logs or literature logs.","Writing Chapter 4, p. 148"
W4-032,Writing Chapter 4,What do reading response journals invite writers to do?,Respond to assigned and self-selected readings.,Avoid personal engagement with texts.,Write without reading.,Only copy sentences from the textbook.,1,"Source: Writing Chapter 4, p. 148. The page explains that such journals may expressly invite responses to readings.","Writing Chapter 4, p. 148"
W4-033,Writing Chapter 4,How can predictive and response-based writing support reading?,"It encourages close, deep reading and a mental dialogue between reader and text.",It prevents learners from interpreting texts.,It only measures reading speed.,It is unrelated to comprehension.,1,"Source: Writing Chapter 4, p. 149. The chapter connects predictive and response-based writing with deep reading and comprehension.","Writing Chapter 4, p. 149"
W4-034,Writing Chapter 4,"What is one benefit of writing about texts before, during, or after reading?",Students bring developing thoughts to the surface and negotiate them as they read.,Students avoid revisiting their ideas.,Students stop interacting with texts.,Students focus only on sentence length.,1,"Source: Writing Chapter 4, p. 149. The page describes writing as a way to externalize and negotiate developing thoughts.","Writing Chapter 4, p. 149"
W4-035,Writing Chapter 4,What does the chapter suggest about response-based tasks?,They can vary from informal personal responses to more structured academic responses.,They must always be timed grammar tests.,They should never connect to assigned readings.,They are useful only for native speakers.,1,"Source: Writing Chapter 4, p. 150. The section presents response tasks as flexible tools for integrating reading and writing.","Writing Chapter 4, p. 150"
W4-036,Writing Chapter 4,Why are prompts and guiding questions useful in response journals?,"They help direct attention to important textual, rhetorical, or conceptual features.",They make reading unnecessary.,They prevent students from noticing genre.,They remove the teacher’s role in instruction.,1,"Source: Writing Chapter 4, p. 150. Guidance can focus learners’ attention and support purposeful response.","Writing Chapter 4, p. 150"
W4-037,Writing Chapter 4,What is the instructional value of summary writing in integrated reading-writing instruction?,It helps learners recognize textual features and reproduce a source-based subgenre.,It is unrelated to reading comprehension.,It should be taught only as copying.,It prevents later paraphrasing and quotation work.,1,"Source: Writing Chapter 4, p. 151. Summary writing can introduce textual features and prepare learners for paraphrasing and quotation.","Writing Chapter 4, p. 151"
W4-038,Writing Chapter 4,How should teachers approach reading and writing integration according to the chapter?,They should systematically incorporate reading instruction and practice into the composition curriculum.,They should remove reading from composition classes.,They should use reading only as homework with no instruction.,They should teach writing without considering source use.,1,"Source: Writing Chapter 4, p. 151. The chapter maintains that reading instruction belongs in the composition curriculum.","Writing Chapter 4, p. 151"
W4-039,Writing Chapter 4,What balance should integrated composition instruction seek?,A careful balance between reading and composing activities.,Only reading with no composing.,Only composing with no reading.,Only grammar drills with no literacy tasks.,1,"Source: Writing Chapter 4, p. 152. The chapter says integration should strike a careful balance.","Writing Chapter 4, p. 152"
W4-040,Writing Chapter 4,Why is writing described as social in the socioliterate view?,Learning to write means learning to accomplish purposes for audiences in settings.,Writing is only an individual grammar exercise.,Writing has no audience.,Writing is unrelated to communities.,1,"Source: Writing Chapter 4, p. 152. The page introduces writing as social and connected to purposes, audiences, and settings.","Writing Chapter 4, p. 152"
