id,section,question,correctAnswer,choice1,choice2,choice3,points,explanation
ST-011,統計 Chapter 2：Grouped frequency distribution,grouped frequency distribution を作る目的として最も適切なものはどれですか。,数値データを少数のclass intervalsにまとめて見やすくする,すべてのローデータを隠す,標本サイズを自動的に増やす,外れ値を必ず削除する,1,数値データはclass intervalにまとめることで扱いやすくなりますが、情報の一部は失われます。
ST-012,統計 Chapter 2：Grouping error,grouping error の説明として最も適切なものはどれですか。,class interval の幅が大きいほど失われる情報が増えること,標本抽出が常に完全になること,平均値が必ず上がること,百分位順位が必ず50になること,1,資料では、class interval widthが大きいほど情報損失が大きくなると説明されています。
ST-013,統計 Chapter 2：Apparent / real limits,real limit の説明として最も適切なものはどれですか。,測定単位の半分だけ得点の下と上に広がる境界,得点表にそのまま印字された整数値,標本全体の人数,研究者の主観的判断,1,real limitは連続変数を離散得点として扱うとき、最小測定単位の半分を上下に取る考え方です。
ST-014,統計 Chapter 2：Relative frequency,relative frequency distribution が特に有用な場面はどれですか。,ケース数が異なる分布を比較するとき,ケース数が非常に少ない分布を断定するとき,測定を行わないとき,母集団を定義しないとき,1,相対度数はsampleではf/n、populationではf/Nで表し、ケース数が異なる分布の比較に役立ちます。
ST-015,統計 Chapter 2：Cumulative distribution,cumulative frequency distribution の説明として最も適切なものはどれですか。,あるclass intervalのupper real limitより下にあるケース数や割合をまとめる,各得点のスペルをまとめる,研究質問を並べる,標本の抽出手順だけを示す,1,累積度数・累積割合は、下から順に計算し、上限以下にどれだけのケースがあるかを示します。
ST-016,統計 Chapter 2：Percentile,percentile point の説明として最も適切なものはどれですか。,分布の指定された割合がその下に位置する測定尺度上の点,常に0から100までの百分率だけ,平均値と同じ意味,得点差の等間隔性を保証する値,1,percentileは測定尺度上の点であり、たとえばP50は50%のケースがその下にある得点を表します。
ST-017,統計 Chapter 2：Percentile rank,percentile rank の説明として最も適切なものはどれですか。,ある測定点より下にあるケースの割合,測定尺度上の得点そのもの,平均からの標準偏差単位,標本サイズそのもの,1,percentile rankはpercentageであるため0から100の値を取り、相対的位置を示します。
ST-018,統計 Chapter 2：Percentile vs percentile rank,P50 = 81 と「81点のpercentile rank = 50」の違いとして適切なものはどれですか。,前者は割合に対応する得点を求め、後者は得点に対応する割合を求めている,どちらも必ず平均値を求めている,前者だけが標本抽出を意味する,後者だけが研究倫理を意味する,1,資料の例では、50th percentileは得点81、81点のpercentile rankは50と整理されています。
ST-019,統計 Chapter 2：Percentile rank interpretation,percentile rank は実際の得点の距離間をそのまま反映しますか。,反映しない。相対的位置を表すが、得点間の距離が等しいとは限らない,常に完全に反映する,標本サイズが1なら必ず反映する,p値と同じなので距離を表す,1,percentile rankは順位に基づく割合であり、得点差の大きさを等間隔に表す指標ではありません。
ST-020,統計 Chapter 2：Linear interpolation,linear interpolation を使う目的として最も適切なものはどれですか。,percentileやpercentile rankをより細かく推定するため,無作為抽出を省略するため,全データを質的データに変えるため,研究質問を削除するため,1,Chapter 2では、percentileやpercentile rankを計算する方法としてlinear interpolationが扱われています。
